mouse_id,group,unit_id,duration,half_width_duration,peak_amplitude_asymmetry,peak_to_trough_ratio,duration_between_peaks,one_minus_left_peak,area_after_min,repolarization_slope,firing_rate
F3876,saline,172,0.7333333333333334,0.2,0.19764043058382935,0.2870289205700644,1.1333333333333333,0.2544362545013428,18.469342097640038,0.3230987588564555,20.701538461538462
F3876,saline,180,0.7666666666666667,0.23333333333333334,0.18463674523519538,0.286576140673706,1.2333333333333332,0.337272584438324,17.382900651544333,0.27999335527420044,0.7615384615384615
F3876,saline,186,0.8333333333333334,0.2,0.08254154061831974,0.24354875261523226,1.2333333333333332,0.2186816930770874,17.14142352156341,0.29117688765892613,4.2846153846153845
F3876,saline,192,0.6333333333333333,0.23333333333333334,0.1935298947607783,0.3311366420361641,1.1666666666666667,0.2755581736564636,17.551049172878265,0.32377350330352783,0.4430769230769231
F3876,saline,196,0.7666666666666667,0.2,0.20230409855506742,0.2810888379854204,1.2,0.2308216094970703,20.872960092499852,0.34369973341623944,6.775384615384615
F3876,saline,200,0.8666666666666666,0.3,0.13801280761948118,0.3521466682077985,1.4666666666666668,0.20276808738708496,20.71244904026389,0.24907273054122925,1.2538461538461538
F3876,saline,206,0.7333333333333334,0.13333333333333333,0.2612610230442773,0.2251976714299841,1.1666666666666667,0.39385461807250977,19.357317104935646,0.38295312722524005,3.0246153846153847
F3876,saline,212,0.7333333333333334,0.13333333333333333,0.2612610230442773,0.2251976714299841,1.1666666666666667,0.39385461807250977,19.357317104935646,0.38295312722524005,14.476923076923077
F3876,saline,215,0.6666666666666666,0.1,0.5843001667026952,0.22282660623570621,1.1,0.40884655714035034,38.07365474104881,1.0110922813415528,0.9507692307692308
F3876,saline,219,0.8666666666666666,0.16666666666666666,0.21576239242401526,0.2612953422251162,1.1333333333333333,-0.54240882396698,43.698796197772026,0.6536433356148856,1.8753846153846154
F3876,saline,223,0.8333333333333334,0.13333333333333333,0.0713945626732805,0.18871303080851692,1.1,-0.7587445974349976,40.24004342406988,0.8271337655874399,1.5215384615384615
F3876,saline,232,0.3,0.06666666666666667,0.9456697724439199,0.2951659520528338,0.6333333333333333,0.9574673175811768,16.874468199908733,1.290102243423462,2.0
F3876,saline,234,0.8333333333333334,0.13333333333333333,-0.25288707835136276,0.16455565393092028,0.9666666666666667,-0.6935344934463501,20.18089072406292,0.4383565698351179,1.0892307692307692
F3876,saline,236,0.8333333333333334,0.16666666666666666,0.17681205140770673,0.2038560479120578,1.2333333333333332,-0.167732834815979,33.36942991614342,0.6299189054048978,3.4692307692307693
F3876,saline,240,0.6666666666666666,0.1,0.7152541086426782,0.2382577850706598,0.8666666666666666,0.5078345239162445,48.358926225453615,1.244328498840332,10.05076923076923
F3876,saline,244,0.7333333333333334,0.16666666666666666,0.16965456197974368,0.22991757830291165,1.0666666666666667,-0.3708242177963257,33.60516456514597,0.7635117444125089,2.832307692307692
F3876,saline,246,0.7666666666666667,0.13333333333333333,0.2704311340106037,0.22812679820704823,1.0333333333333334,-1.1182327270507812,66.14638197422028,1.347413698832194,0.3830769230769231
F3876,saline,250,0.8,0.2,0.29382017203667266,0.29135297976037927,1.2,-0.3699166774749756,44.034970581531525,0.6626587647658128,0.6353846153846154
F3876,saline,252,0.6666666666666666,0.1,0.06568651279284031,0.16864199118660989,0.8,-1.5786139965057373,54.10837146639824,1.585494648326527,0.39384615384615385
F3876,saline,254,0.8,0.2,0.22173736748847744,0.24409244726042192,1.1,-0.6064541339874268,46.03046128153801,0.7947349548339844,1.1876923076923076
F3876,saline,256,0.8,0.16666666666666666,0.2112795450298696,0.2310024665466252,1.1333333333333333,-0.7047722339630127,49.04731968045235,0.9444735050201416,0.5430769230769231
F3878,saline,88,0.3666666666666667,0.1,0.6660811753282758,0.2266505649380787,0.5,0.7575925886631012,16.75635408051312,0.8893917401631674,16.083076923076923
F3878,saline,112,0.3,0.1,-0.4944766187973922,0.15593147638634638,0.4333333333333333,-1.5352869033813477,9.386329071596265,1.0999563217163086,1.1584615384615384
F3878,saline,122,0.3333333333333333,0.13333333333333333,0.5707551246611903,0.23147890815130848,0.9333333333333333,0.6466189324855804,20.30133388552349,1.1172882080078126,5.7215384615384615
F3878,saline,128,0.3,0.1,0.07648135575608811,0.2458854961275972,0.4333333333333333,-0.2841310501098633,16.70550276618451,1.2174952507019043,28.427692307692308
F3878,saline,134,0.3,0.16666666666666666,0.530092626727102,0.3221969580209306,0.8666666666666666,0.21934926509857178,31.89402089267969,1.5778684616088867,6.556923076923077
F3878,saline,142,0.7,0.26666666666666666,0.2064604777632981,0.31781532241991706,1.2,-0.5414146184921265,41.68612143397331,0.6144802570343018,1.9292307692307693
F3878,saline,144,0.8,0.23333333333333334,0.1315172726575195,0.2725995660769108,1.0333333333333334,-1.1804981231689453,49.28662231564522,0.7443934168134417,1.1092307692307692
F3878,saline,146,0.6666666666666666,0.2,0.2014166064815857,0.25789253630040876,1.1333333333333333,-1.1436848640441895,57.0843081176281,1.1368491432883523,0.5153846153846153
F3878,saline,148,0.9666666666666667,0.16666666666666666,0.015888048995864518,0.2096009404946423,1.2666666666666666,-1.7972240447998047,55.328248500823975,0.9184258778889974,0.3707692307692308
F3878,saline,156,0.6666666666666666,0.2,0.33732763969936325,0.28482366195883213,1.1333333333333333,-1.2634227275848389,76.16920261085033,1.4579273570667615,0.18769230769230769
F3878,saline,162,0.3666666666666667,0.1,0.6660811753282758,0.2266505649380787,0.5,0.7575925886631012,16.75635408051312,0.8893917401631674,1.5307692307692307
F3878,saline,172,0.6666666666666666,0.23333333333333334,0.35632904347654976,0.3473349520561104,1.2333333333333332,0.5047750174999237,17.12326619029045,0.2731256701729514,11.092307692307692
F3878,saline,182,0.2,0.4333333333333333,-9.56059937168555,0.5498586547243067,1.3333333333333333,-0.37450313568115234,10.142635822296143,,0.7
F3878,saline,200,1.0666666666666667,0.3666666666666667,0.3974875913213083,0.5934151832814359,1.7333333333333332,0.3885970115661621,23.523721009492874,0.1493588238954544,1.073846153846154
F3878,saline,204,1.0666666666666667,0.3666666666666667,0.3974875913213083,0.5934151832814359,1.7333333333333332,0.3885970115661621,23.523721009492874,0.1493588238954544,1.1646153846153846
F3878,saline,212,0.3,0.13333333333333333,0.4951124477321868,0.29048474753698333,0.8666666666666666,0.5470039248466492,17.405364530161023,0.9235922813415527,5.993846153846154
F3878,saline,218,0.8666666666666666,0.26666666666666666,-0.03516107589711181,0.2460990012707659,1.2,0.055213332176208496,17.290714487433434,0.23855005900065104,6.812307692307693
F3878,saline,228,0.6666666666666666,0.2,0.12605057648516632,0.3027597625756575,0.8333333333333334,0.04227888584136963,17.435613606125116,0.3396497170130412,12.824615384615385
F3878,saline,238,0.7,0.23333333333333334,0.29699674502826023,0.3288016203295458,1.2,0.359372615814209,20.818514496088028,0.27650930331303525,37.52
F3878,saline,242,0.7,0.23333333333333334,0.29699674502826023,0.3288016203295458,1.2,0.359372615814209,20.818514496088028,0.27650930331303525,15.027692307692307
F3878,saline,248,0.6,0.3666666666666667,0.09951676758997842,0.59970726472915,1.0666666666666667,-0.06944465637207031,12.755770489573479,0.21774351596832275,1.736923076923077
