mouse_id,group,unit_id,cluster,cluster_label,duration,half_width_duration,peak_amplitude_asymmetry,peak_to_trough_ratio,duration_between_peaks,one_minus_left_peak,area_after_min,repolarization_slope,firing_rate
F3800,saline,144,0,Putative Excitatory Unit,0.7666666666666667,0.2,0.2938328137184096,0.2560970174230967,1.1666666666666667,0.2687641382217407,23.36902611702681,0.4359556833902995,6.52
F3800,saline,150,0,Putative Excitatory Unit,0.7666666666666667,0.2,0.2938328137184096,0.2560970174230967,1.1666666666666667,0.2687641382217407,23.36902611702681,0.4359556833902995,1.48
F3800,saline,168,0,Putative Excitatory Unit,0.6333333333333333,0.2333333333333333,0.3013468814242996,0.3828299198634129,1.2666666666666666,0.3775358200073242,18.45458712801337,0.3028586387634277,0.5969230769230769
F3800,saline,172,1,Putative Inhibitory Unit,0.7666666666666667,0.2,0.232321339442526,0.2453885372644068,1.0333333333333334,-0.7834539413452148,50.46932221762836,0.9722341696421304,1.5292307692307692
F3800,saline,174,1,Putative Inhibitory Unit,0.7666666666666667,0.2,0.232321339442526,0.2453885372644068,1.0333333333333334,-0.7834539413452148,50.46932221762836,0.9722341696421304,0.3707692307692308
F3800,saline,176,0,Putative Excitatory Unit,0.7333333333333334,0.2,0.222524772787635,0.2365104073253082,1.2,0.3409851789474487,18.7833180911839,0.3983119617808949,17.876923076923077
F3800,saline,178,0,Putative Excitatory Unit,0.9666666666666668,0.4333333333333333,0.5005680241901953,0.7253512737789113,1.6333333333333335,0.4356417059898376,25.753801241517067,0.1230360206804777,1.7076923076923076
F3800,saline,182,0,Putative Excitatory Unit,0.8,0.2333333333333333,-0.0114559417374662,0.2539243821223167,1.1,-0.0523048639297485,17.358003687113523,0.2893065043858119,2.732307692307692
F3800,saline,188,1,Putative Inhibitory Unit,0.3,0.1333333333333333,1.002836461331537,0.582606671941141,0.9666666666666668,1.0025607757270336,27.28973686695099,0.7758981585502625,1.9584615384615385
F3800,saline,192,1,Putative Inhibitory Unit,0.7666666666666667,0.2,0.1893469895217336,0.2527660540079017,1.1,-2.3314051628112797,82.70546908676624,1.6113913853963215,0.64
F3800,saline,193,1,Putative Inhibitory Unit,0.7666666666666667,0.2,0.1893469895217336,0.2527660540079017,1.1,-2.3314051628112797,82.70546908676624,1.6113913853963215,0.3338461538461538
F3800,saline,200,0,Putative Excitatory Unit,0.8333333333333334,0.2,0.144153414256116,0.2435786524377349,1.3,0.3950288295745849,15.469336416572332,0.2554114965292123,0.7184615384615385
F3800,saline,204,0,Putative Excitatory Unit,0.8,0.2333333333333333,0.0550788680831432,0.2712022303335566,1.2,0.116844892501831,17.693908352404833,0.2597197975431169,1.1523076923076925
F3800,saline,212,0,Putative Excitatory Unit,0.8,0.2333333333333333,0.0550788680831432,0.2712022303335566,1.2,0.116844892501831,17.693908352404833,0.2597197975431169,1.873846153846154
F3800,saline,216,0,Putative Excitatory Unit,0.8,0.2333333333333333,0.0550788680831432,0.2712022303335566,1.2,0.116844892501831,17.693908352404833,0.2597197975431169,0.9215384615384616
F3800,saline,222,1,Putative Inhibitory Unit,0.7666666666666667,0.2,0.1646682459204907,0.2693999796829708,1.1333333333333333,-0.7214341163635254,40.08293542265892,0.6853189468383789,3.123076923076923
F3800,saline,230,1,Putative Inhibitory Unit,0.3666666666666667,0.1333333333333333,0.6968175836287632,0.4864476241147721,1.0333333333333334,0.6792973279953003,26.64761083945632,0.7379511833190918,1.176923076923077
F3800,saline,240,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.2119039102259747,0.2576264183310625,1.2,0.1976287364959716,22.2576614189893,0.3420943873269217,1.7323076923076923
F3800,saline,242,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.2119039102259747,0.2576264183310625,1.2,0.1976287364959716,22.2576614189893,0.3420943873269217,4.76
F3800,saline,248,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.2119039102259747,0.2576264183310625,1.2,0.1976287364959716,22.2576614189893,0.3420943873269217,11.44923076923077
